Boundary_Layer,Privacy_Rate,Attack_Success_Rate,Accuracy,Avg_SSIM,Max_SSIM,Std_SSIM
29,0.971,0.029,0.089,0.107,0.667,0.079
28,0.968,0.032,0.089,0.110,0.524,0.075
27,0.971,0.029,0.089,0.108,0.642,0.078
26,0.948,0.052,0.089,0.125,0.571,0.090
25,0.931,0.069,0.089,0.144,0.683,0.095
24,0.902,0.098,0.089,0.162,0.591,0.098
22,0.877,0.123,0.000,0.182,0.564,0.097
21,0.719,0.281,0.000,0.246,0.707,0.115
20,0.485,0.515,0.000,0.313,0.846,0.127
19,0.454,0.546,0.000,0.323,0.789,0.127
18,0.302,0.698,0.000,0.368,0.744,0.122
17,0.292,0.708,0.000,0.373,0.849,0.123
15,0.006,0.994,0.000,0.606,0.874,0.105
14,0.004,0.996,0.000,0.616,0.876,0.105
13,0.002,0.998,0.000,0.663,0.891,0.096
12,0.000,1.000,0.000,0.654,0.909,0.092
11,0.000,1.000,0.000,0.733,0.907,0.081
10,0.000,1.000,0.000,0.754,0.914,0.075
8,0.000,1.000,0.000,0.877,0.964,0.045
7,0.000,1.000,0.000,0.875,0.961,0.046
6,0.000,1.000,0.000,0.890,0.972,0.043
5,0.000,1.000,0.000,0.890,0.968,0.043
3,0.000,1.000,0.000,0.936,0.983,0.032
2,0.000,1.000,0.000,0.946,0.989,0.029
1,0.000,1.000,0.000,0.950,0.986,0.026
0,0.000,1.000,0.000,0.989,0.998,0.011
